date,Temp,Humidity,GHI,SHI,Power
2017/8/1 0:00,7.7053,46.8807,2.9813,1.2878,0
2017/8/1 0:15,7.5963,45.8584,3.1602,1.4118,0
2017/8/1 0:30,7.3075,47.8872,2.9705,1.2399,0
2017/8/1 0:45,7.2859,47.9202,2.8582,1.1202,0
2017/8/1 1:00,7.3092,47.4404,2.6489,0.9747,0
2017/8/1 1:15,7.3819,47.3238,2.3732,0.7479,0
2017/8/1 1:30,7.6773,46.1832,2.5324,0.9347,0
2017/8/1 1:45,7.4295,46.6378,2.494,0.8269,0
2017/8/1 2:00,7.2921,47.2399,2.7575,1.0838,0
2017/8/1 2:15,7.3793,47.0574,2.4397,0.7987,0
2017/8/1 2:30,7.7414,45.8348,2.1839,0.5635,0
2017/8/1 2:45,8.127,44.2146,2.3098,0.6973,0
2017/8/1 3:00,8.1831,43.0222,1.8042,0.4952,0
2017/8/1 3:15,11.0901,34.2076,1.2185,0.4197,0
2017/8/1 3:30,12.5785,30.4634,1.2295,0.4255,0
2017/8/1 3:45,12.9468,29.7069,1.4741,0.4437,0
2017/8/1 4:00,13.1006,29.5288,1.8266,0.6425,0
2017/8/1 4:15,12.0251,31.2325,3.9969,2.2481,0
2017/8/1 4:30,12.1224,31.5435,2.7729,1.2863,0
2017/8/1 4:45,10.911,33.7056,5.0101,3.3108,0
2017/8/1 5:00,8.5341,40.1626,6.2946,4.4024,0
2017/8/1 5:15,8.0349,41.8625,4.7618,2.9272,0
2017/8/1 5:30,7.5799,42.7327,3.8878,2.1171,0
2017/8/1 5:45,7.0949,44.8277,3.4496,1.6775,0
2017/8/1 6:00,7.4684,43.7654,2.8825,1.1599,0
2017/8/1 6:15,7.5837,43.1425,2.7547,1.0256,0
2017/8/1 6:30,7.4191,43.9065,2.8066,1.1327,0
2017/8/1 6:45,6.9726,45.1554,3.0598,1.3185,0
2017/8/1 7:00,6.7458,46.2989,4.3028,2.4975,0
2017/8/1 7:15,6.748,46.5907,9.3519,6.8979,0
2017/8/1 7:30,7.048,46.0944,31.3563,12.7253,0.0354
2017/8/1 7:45,8.2765,43.2191,69.7861,17.8135,1.3329
2017/8/1 8:00,10.6651,36.7534,120.184,21.8842,2.4082
2017/8/1 8:15,12.3863,32.3215,177.0005,27.03,3.0606
2017/8/1 8:30,13.32,30.9499,234.623,32.0353,3.3209
2017/8/1 8:45,14.0552,30.0526,298.9455,37.1114,3.4796
2017/8/1 9:00,15.2893,28.2003,359.9357,43.5443,2.4594
2017/8/1 9:15,15.9441,27.4051,414.1362,47.8774,2.0763
2017/8/1 9:30,16.6475,26.9915,464.46,55.0065,1.8681
2017/8/1 9:45,17.2217,26.6375,511.1257,56.1579,3.1339
2017/8/1 10:00,17.7486,26.1711,549.4308,53.4874,3.7666
2017/8/1 10:15,18.8523,25.2867,586.987,52.635,3.9409
2017/8/1 10:30,20.401,24.2819,623.3116,51.5314,3.972
2017/8/1 10:45,21.6258,23.9108,652.4148,52.3445,3.9454
2017/8/1 11:00,22.135,23.945,690.6469,52.0087,3.9475
2017/8/1 11:15,23.1122,23.0482,718.0362,53.1548,3.9475
2017/8/1 11:30,23.5182,23.4332,741.1292,59.5939,4.0046
2017/8/1 11:45,25.0481,22.1137,759.5815,65.7899,3.99
2017/8/1 12:00,25.5082,21.5903,778.6475,74.9006,4.0283
2017/8/1 12:15,26.0799,21.0388,784.7035,70.8649,4.0311
2017/8/1 12:30,26.3565,20.8491,784.0227,67.1332,3.979
2017/8/1 12:45,26.9964,20.1524,780.7358,67.228,3.9702
2017/8/1 13:00,27.246,19.7437,772.2518,66.6682,3.9982
2017/8/1 13:15,27.7022,19.0802,768.0782,69.5796,3.9541
2017/8/1 13:30,27.8189,18.6925,755.3978,69.6972,3.966
2017/8/1 13:45,28.225,18.0911,732.7659,64.5996,3.9704
2017/8/1 14:00,28.1873,18.0066,709.8912,67.0013,3.9345
